ID,Node Sensor Number,Name,North-South Street,East-West Street,Intersection Details,Location Type,Category,Notes,Status,Latitude,Longitude,Location
32,O14,"State St  & Washington St, Chicago, IL",State St,Washington St,SEX,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node,Live,41.88321,-87.62777,"(41.8832053, -87.6277685)"
15,,"Lake Shore Drive & Monroe St, Chicago, IL",Lake Shore Drive,Monroe St,,Lakeshore,Urban Impact on Climate & Weather,,Planned,41.88093,-87.61944,"(41.8809294, -87.6194422)"
63,,"Broadway Ave. & Elmdale Ave., Chicago, IL",Broadway Ave.,Elmdale Ave.,,,COMPASS Study,,Planned,41.99092,-87.66029,"(41.990916, -87.660294)"
2,09C,"State St  & Randolph St, Chicago, IL",State St,Randolph St,NWX,E-W transects,Urban Impact on Climate & Weather,First node in E-W transect over different building forms (skyscraper to 2-flat),Live,41.88451,-87.62795,"(41.8845107, -87.6279482)"
51,2A,"Jeffrey Ave. & 95th St., Chicago, IL",Jeffrey Ave.,95th St.,,,Vision Zero - Pedestrian High Crash Intersection,,Live,41.72247,-87.57536,"(41.722469, -87.575355)"
18,00D,"Cornell Dr  & 47th St, Chicago, IL",Cornell Dr,47th St,,Lakeshore,Urban Impact on Climate & Weather,,Live,41.81024,-87.59029,"(41.810244, -87.5902927)"
36,,"State St  & Van Buren St, Chicago, IL",State St,Van Buren St,NEX,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node,Planned,41.87694,-87.62756,"(41.8769426, -87.6275647)"
20,O40,"Lake Shore Drive  & 85th St, Chicago, IL",Lake Shore Drive,85th St,,Lakeshore,Urban Impact on Climate & Weather,,Live,41.74109,-87.54018,"(41.7410863, -87.5401837)"
92,,"Kedzie Ave. & Lake St., Chicago, IL",Kedzie Ave.,Lake St.,,,Community Suggestion,,Planned,41.88435,-87.70622,"(41.884352, -87.706219)"
25,O53,"Racine Ave  & 18th St, Chicago, IL",Racine Ave,18th St,SEX,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,single node with PM. ?Ã­Ã§Downwind of smelter at Loomis and 21st.,Live,41.85799,-87.65652,"(41.8579911, -87.6565218)"
66,30,"Halsted St. & 34th St., Chicago, IL",Halsted St.,34th St.,NEX,,COMPASS Study,,Live,41.83281,-87.64615,"(41.832811, -87.646153)"
88,96,"Ave L & 100th, Chicago, IL",Ave L,100th,,,Public Health Air Quality Bloomberg Project,,Live,41.71388,-87.53649,"(41.713883, -87.536487)"
52,80,"Broadway Ave. & Lawrence Ave., Chicago, IL",Broadway Ave.,Lawrence Ave.,,,Vision Zero - Other High Crash Locations,,Live,41.96902,-87.65967,"(41.969025, -87.65967)"
71,8F,"Clark St. & Montrose Ave., Chicago, IL",Clark St.,Montrose Ave.,,,Studio Gang/BET Study,,Live,41.96164,-87.66595,"(41.961635, -87.665954)"
106,071,"UChicago, Ratner",UChicago,Ratner Hall,,,Array of Things (?),,Live,41.79447,-87.60163,"(41.794474, -87.601628)"
96,07D,"Cottage Grove Ave. & 93rd St, Chicago, IL",Cottage Grove Ave.,93rd St,,,Northwestern-CNT (Chatham Project),,Live,41.72936,-87.60465,"(41.729355, -87.604647)"
49,20,"Western Ave. & 69th St., Chicago, IL",Western Ave.,69th St.,SEX,,Vision Zero - Pedestrian High Crash Intersection,,Live,41.76833,-87.68334,"(41.768332, -87.683343)"
54,6B,"Ashland Ave. & 59th St., Chicago, IL",Ashland Ave.,59th St.,,,Vision Zero - Other High Crash Locations,,Live,41.78675,-87.66439,"(41.786747, -87.664394)"
46,,"Fairbanks Ct. & Ontario St., Chicago, IL",Fairbanks Ct.,Ontario St.,,,Vision Zero - Pedestrian High Crash Intersection,,Planned,41.89341,-87.62028,"(41.893406, -87.620275)"
50,85,"Ashland Ave. & 79th St., Chicago, IL",Ashland Ave.,79th St.,SEX,,Vision Zero - Pedestrian High Crash Intersection,,Live,41.75036,-87.66344,"(41.750357, -87.663437)"
59,90,"Milwaukee Ave. & Belmont Ave, Chicago, IL",Milwaukee Ave.,Belmont Ave,SEX,,Vision Zero - Other High Crash Locations,,Live,41.93913,-87.72392,"(41.939133, -87.723919)"
34,,"State St  & Adams St, Chicago, IL",State St,Adams St,,Downtown and Federal Campus (GSA),Urban Vehicle and Pedestrian Flow,single node,Planned,41.87951,-87.62764,"(41.8795148, -87.6276398)"
87,95,"Ave O & 126th, Chicago, IL",Ave O,126th,,,Public Health Air Quality Bloomberg Project,,Live,41.66611,-87.53930,"(41.666114, -87.539297)"
27,O4E,"Damen Ave  & Chicago Int'l Produce Mkt, Chicago, IL",Damen Ave,Chicago Int'l Produce Mkt,,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,,Live,41.84534,-87.67786,"(41.8453359, -87.6778615)"
80,07B,"Ashland Ave. & Harrison, Chicago, IL",Ashland Ave.,Harrison,,,BRT,,Live,41.87420,-87.66660,"(41.8742, -87.666599)"
9,03C,"Kedzie Ave  & 5th Ave, Chicago, IL",Kedzie Ave,5th Ave,NEX,E-W transects,Urban Impact on Climate & Weather,,Live,41.87838,-87.70823,"(41.8783764, -87.7082304)"
22,O25,"Western Ave  & 18th St, Chicago, IL",Western Ave,18th St,SEX,Pilsen and Stevensen Transect -AQ,Urban Air Quality and Health Education,specific corner not yet determined,Live,41.85722,-87.68583,"(41.857224, -87.685833)"
91,,"Clinton St. & Jackson Ave., Chicago, IL",Clinton St.,Jackson Ave.,,,Community Suggestion,,Planned,41.87803,-87.64107,"(41.878027, -87.64107)"
43,5D,"Pulaski Rd. & Chicago Ave., Chicago, IL",Pulaski Rd.,Chicago Ave.,,,Vision Zero - Pedestrian High Crash Intersection,,Live,41.89537,-87.72608,"(41.895368, -87.72608)"
58,08C,"Western Ave. & Fullterton Ave, Chicago, IL",Western Ave.,Fullterton Ave,NWX,,Vision Zero - Other High Crash Locations,,Live,41.92490,-87.68764,"(41.924900683282, -87.68764191261)"
16,OO6,"Lake Shore Drive  & 18th Dr, Chicago, IL",Lake Shore Drive,18th Dr,,Lakeshore,Urban Impact on Climate & Weather,,Live,41.85818,-87.61620,"(41.8581829, -87.6162028)"
69,076,"Pulaski Rd. & 27th St., Chicago, IL",Pulaski Rd.,27th St.,NWX,,COMPASS Study,,Live,41.84241,-87.72450,"(41.84241, -87.724499)"
101,0A4,"Western Ave. & Roscoe Ave., Chicago, IL",Western Ave.,Roscoe Ave.,SEX,,Lane of Things,,Live,41.94310,-87.68815,"(41.943098, -87.688153)"
93,86,"Damen Ave. & Lawrence Ave., Chicago, IL",Damen Ave.,Lawrence Ave.,,,Community Suggestion,,Live,41.96876,-87.67919,"(41.968756, -87.679186)"
38,O50,"Ashland Av  & Division St, Chicago, IL",Ashland Av,Division St,,CDOT Placemaking Project,Urban Placemaking,,Live,41.90351,-87.66716,"(41.9035068, -87.6671648)"
10,O3F,"Pulaski Rd  & Madison St, Chicago, IL",Pulaski Rd,Madison St,,E-W transects,Urban Impact on Climate & Weather,,Live,41.88082,-87.72556,"(41.8808202, -87.725563)"
78,09D,"Ashland Ave. & 31st Pl , Chicago, IL",Ashland Ave.,31st Pl,NEX,,BRT,,Live,41.83871,-87.66578,"(41.838713, -87.665778)"
6,03D,"Halsted St & Randolph St, Chicago, IL",Halsted St,Randolph St,NEX,E-W transects,Urban Impact on Climate & Weather,,Live,41.88458,-87.64736,"(41.8845791, -87.6473594)"
84,9,"Elston & Cortland St., Chicago, IL",Elston,Cortland St.,,,North Branch Framework Project,,Live,41.91719,-87.65828,"(41.917194, -87.65828)"
